
 The feature 138 is ranked 67 and comes from method N°:  1  (spect_fourier_power); channel N°: 9(CP5); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
 The feature 57 is ranked 68 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 52 is ranked 69 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 149 is ranked 70 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 3(Mu        : [8 12] Hz); power type N°: 1, Type : Absolute.
 The feature 226 is ranked 71 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 115 is ranked 72 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 2(Theta     : [4 8] Hz); power type N°: 1, Type : Absolute.
 The feature 51 is ranked 73 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 2(Theta     : [4 8] Hz); power type N°: 1, Type : Absolute.
 The feature 38 is ranked 74 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 247 is ranked 75 and comes from method N°:  1  (spect_fourier_power); channel N°: 16(O2); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 231 is ranked 76 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 44 is ranked 77 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 152 is ranked 78 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 4(Alpha     : [12 16] Hz); power type N°: 2, Type : Retalive.
 The feature 42 is ranked 79 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
 The feature 63 is ranked 80 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 8(all bands or not applied filters...); power type N°: 1, Type : Absolute.
 The feature 169 is ranked 81 and comes from method N°:  1  (spect_fourier_power); channel N°: 11(P3); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 215 is ranked 82 and comes from method N°:  1  (spect_fourier_power); channel N°: 14(O1); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 145 is ranked 83 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 1, Type : Absolute.
 The feature 158 is ranked 84 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 2, Type : Retalive.
 The feature 253 is ranked 85 and comes from method N°:  1  (spect_fourier_power); channel N°: 16(O2); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 236 is ranked 86 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 43 is ranked 87 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 45 is ranked 88 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 41 is ranked 89 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 159 is ranked 90 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 8(all bands or not applied filters...); power type N°: 1, Type : Absolute.
 The feature 107 is ranked 91 and comes from method N°:  1  (spect_fourier_power); channel N°: 7(F8); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 104 is ranked 92 and comes from method N°:  1  (spect_fourier_power); channel N°: 7(F8); band N°: 4(Alpha     : [12 16] Hz); power type N°: 2, Type : Retalive.
 The feature 189 is ranked 93 and comes from method N°:  1  (spect_fourier_power); channel N°: 12(Pz); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 119 is ranked 94 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 37 is ranked 95 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 3(Mu        : [8 12] Hz); power type N°: 1, Type : Absolute.
 The feature 198 is ranked 96 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 182 is ranked 97 and comes from method N°:  1  (spect_fourier_power); channel N°: 12(Pz); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 172 is ranked 98 and comes from method N°:  1  (spect_fourier_power); channel N°: 11(P3); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 203 is ranked 99 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 220 is ranked 100 and comes from method N°:  1  (spect_fourier_power); channel N°: 14(O1); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
